"mindex","n","predictors","rsquare","adjr","rmse","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
1,1,"Schooling",0.536533497167264,0.536371559185841,6.40206699646675,0.535954864155829,5011.07849846798,18768.4044701733,10637.3706682042,18786.2843937575,117467.256900582,41.0437454915776,0.464114254758429,0.014335932771553
2,1,"Polio",0.411159825039665,0.410954080743732,7.21621984597273,0.410416051913454,7140.30684383054,19454.10531107,11322.5524827188,19471.9852346542,149243.666333341,52.1466085004427,0.589663152144068,0.0182139876556892
3,1,"Diphtheria",0.39380819914302,0.393596392084719,7.3217697639005,0.392970055381048,7434.99051282017,19537.2805738731,11405.6714208024,19555.1604974574,153641.498505431,53.6832367417808,0.607039029090184,0.0187507076576981
4,1,"BMI",0.358110475541874,0.357886195484411,7.53427006315826,0.357028533202106,8041.24702319118,19701.1579938416,11569.441807591,19719.0379174258,162689.215316445,56.8445618281871,0.642786644687977,0.0198549086355802
5,1,"GDP_per_capita",0.339993623356779,0.339763013162284,7.63985480582472,0.338802099115258,8348.92657462035,19780.8725305455,11649.1061260931,19798.7524541297,167280.99685157,58.4489571095046,0.660928817421199,0.0204152985955239
6,1,"Incidents_HIV",0.305839376474845,0.30559683258123,7.83503654490646,0.304190975463295,8928.97013034801,19925.3724519574,11793.5180066792,19943.2523755416,175937.513920667,61.4735947217389,0.695130799099614,0.0214717567951343
7,1,"Economy_status_Developed",0.274356989387033,0.274103445358168,8.01073836100924,0.273659419846715,9463.63733622535,20052.4045798044,11920.4758344477,20070.2845033886,183916.838487349,64.2616173192767,0.726657186728429,0.0224455691030796
8,1,"Measles",0.240118217966819,0.239852710705452,8.19754964522023,0.238912404035587,10045.116377089,20184.4484356017,12052.4454336564,20202.3283591859,192594.778605559,67.2937402699676,0.760943811078651,0.0235046418133202
9,1,"Thinness_ten_nineteen_years",0.218859758140055,0.218586823045065,8.31142604987863,0.21726416129756,10406.1500333085,20263.4714353949,12131.4254045437,20281.3513589792,197982.811929474,69.1763505758682,0.782231982239903,0.0241622078920778
10,1,"Thinness_five_nine_years",0.209916291985005,0.209640231989193,8.35887041318792,0.208312853177149,10558.037437737,20296.0757801818,12164.0122975253,20313.955703766,200249.565686209,69.968367574803,0.791187947998245,0.0244388469345109
11,1,"Hepatitis_B",0.174560543411442,0.174272129904598,8.54385071722903,0.172949864102374,11158.4861663801,20421.453164907,12289.3241816569,20439.3330884912,209210.607692953,73.0994079784743,0.826593110615935,0.0255324699505014
12,1,"Alcohol_consumption",0.159327993163402,0.159034257311956,8.62232388282723,0.158286412186942,11417.181450724,20473.8232979352,12341.6676977086,20491.7032215194,213071.352498244,74.44837475762,0.84184695024238,0.0260036427644168
13,1,"Population_mln",0.000691578477987524,0.000342414109880673,9.4007134080934,-0.00019533775429692,14111.3128821708,20968.8997254434,12836.5128933775,20986.7796490277,253278.32401343,88.4969253869507,1.00070507899444,0.0309105798615969
